Sentence ID,Label,Sentence
F1288072330011_S1,material fact,1. The shares of Genus Commu Trade Limited (hereinafter referred to as ‘GCL’) are listed on the Bombay Stock Exchange and Ahmedabad Stock Exchange.
F1288072330011_S2,procedural fact,"SEBI conducted an investigation in respect of buying, selling and dealing in the shares of GCL during the time period from September 01, 2004 to November 05, 2004 (hereinafter referred to as investigation period)."
F1288072330011_S3,material fact,"2. During the investigation period, the scrip opened at Rs. 2.00 on September 01, 2004 and touched a period high (intra day) of Rs. 2.91 on October 04, 2004."
F1288072330011_S4,material fact,"The price reached the period low (intra day) of Rs. 1.16 on October 26 & 27, 2004 and finally closed at Rs. 1.53 on November 05, 2004."
F1288072330011_S5,material fact,"During the said period the total traded quantity was 1,63,78,953 shares, the daily average being around 3,48,488 shares for 47 days."
F1288072330011_S6,material fact,"3. For the two months (July 01, 2004 to August 31, 2004) just prior to the investigation period, the total volume traded was 37,91,271 shares, the daily average being around 88,169 shares for 43 days."
F1288072330011_S7,material fact,"For the two months (November 08, 2004 to January 04, 2005) after the investigation period, total volume traded was 1,45,88,129 shares, the average daily volume traded was 3,64,703 shares."
F1288072330011_S8,material fact, 4. The daily average volume traded during the period under investigation increased significantly i.e. by around 295% from the daily average volume traded for the preceding two months of the investigation period.
F1288072330011_S9,material fact,This average daily volume remained so for two months following the investigation period as well.
F1288072330011_S10,material fact,"During the investigation period, it was observed that four brokers namely, Adolf Pinto, Vijaya Bhagwandas & Co, DPS Shares and Securities and Pawan J. Chaudhary indulged in circular trading among themselves."
F1288072330011_S11,material fact," 6. The aforesaid brokers dealing on own account and for respective clients purchased 20,83,551 shares and sold 22,45,146 shares which constitutes 12.72% and 13.71% of the gross volume traded respectively during the relevant period."
F1288072330011_S12,material fact,"These brokers and some of their clients entered into circular trading for among themselves for 19,46,396 shares, which accounted for 93% of their total purchase and 86.69% of their total sale. "
F1288072330011_S13,material fact,"7. Vikas Gaurihar Narnavar (hereinafter referred to as Vikas Narnavar) has traded through M S Adolf Pinto and Pilot Credit Capital Ltd Vikas Narnavar purchased 35,000 shares and sold 90,000 shares in the market through Pilot Credit Capital Ltd., purchased 2,89,350 shares and sold 41,43,45 shares in the market through Adolf Pinto, and received 60,000 shares in off market transactions."
F1288072330011_S14,material fact,8. Vikas Narnavar entered into synchronized transactions by placing buy and sell orders of the same quantity at the same price simultaneously within a maximum the time difference of 39 seconds.
F1288072330011_S15,material fact,"Out of 47 days, Vikas Narnavar has indulged in circular trading through for 26 days using synchronized trades. Vikas Narnavar traded 6,85,497 shares on gross basis (2.09% of gross volume traded), purchased through circular trading 2,79,900 shares constituting 1.71% of the total volume traded and sold through circular trading 2,88,850 shares constituting 1.76% to total volume traded during the investigation period."
F1288072330011_S16,allegation,"9. The aforesaid findings led to the allegation that through collusion with the brokers and other clients, Vikas Narnavar transacted in such a manner which created artificial volume in the scrip, with the intention of creating false appearance of trading in the shares of GCL during the investigation period, thereby distorting the market equilibrium of shares"
F1288072330011_S17,allegation,"10. Thus, Vikas Narnavar is alleged to have violated regulations 4(1) and 4(2) (a) and 4(2) (g) of PFUTP Regulations."
