Sentence ID,Label,Sentence
F1380795608703_S1,material fact,"Securities and Exchange Board of India (hereinafter referred to as ‘SEBI’) investigated into various price sensitive disclosures made by M s Suzlon Energy Limited (hereinafter referred to as ‘Suzlon the company’) for the period of November 3, 2009 and December 2, 2009."
F1380795608703_S2,material fact,"During the course of investigation it was observed that Suzlon had amended its code of internal procedures and conduct for prevention of insider trading for listed companies (“Code of Conduct”) in line with amendments in SEBI (Prohibition of Insider Trading) Regulations, 1992 (hereinafter referred to as “PIT Regulations”) Adjudication Order in respect of Pradip Kumar Khaitan in the matter of Suzlon Energy Limited September 30, 2013 notified on November 19, 2008 only on February 4th, 2011 i.e. after a delay of more than 2 years."
F1380795608703_S3,violation,Further no mechanism for pre-clearance of trades was incorporated in the Code of Conduct despite being mandated by the PIT Regulations.
F1380795608703_S4,allegation, It was alleged that the Code of Conduct was to be implemented under the overall supervision of the Board of Directors of Suzlon (hereinafter referred to as “the Board”).
F1380795608703_S5,material fact,"Shri Pradip Kumar Khaitan (hereinafter referred to as “the Noticee”), was a Non-Executive Independent Director of the Company during the relevant period."
F1380795608703_S6,material fact,"As a member of the Board, the Noticee was also allegedly responsible for the delay in amendment and implementation of the Code of Conduct. "
F1380795608703_S7,violation,"As a result of this delay, the Board, including the Noticee, was alleged to have violated Clause 1.2 of Model code of Conduct in Part A, Schedule I provided under Regulation 12(1) of the PIT Regulations and was therefore liable for monetary penalty under section 15HB of Securities and Exchange Board of India Act, 1992 (hereinafter referred to as “SEBI Act”)."
F1380795608703_S8,procedural fact,"The undersigned was appointed as the Adjudicating Officer vide order of SEBI dated April 17, 2012 under section 15-I of the Act read with rule 3 of SEBI (Procedure for holding Inquiry and Imposing Penalty by Adjudicating Officer) Rules, 1995 (hereinafter referred to as the Adjudicating Rules) to inquire into and adjudge under Section 15HB of the Act, the alleged violation of the provisions of Clause 1.2 of Model code of Conduct in Part A, Schedule I provided under Regulation 12(1) of the PIT Regulations. "
F1380795608703_S9,procedural fact,"A show cause notice (hereinafter referred to as SCN) in terms of the provisions of Rule 4(1) of the Adjudicating Rules was issued to the Noticee on June 19, 2012 seeking reply of the Noticee as to why an inquiry should No be held against him in respect of the violations alleged to have been committed by him."
F1380795608703_S10,procedural fact,"In response to the said SCN, Authorised Representative of the Noticee vide letter dated June 27, 2012 sought extension of time till September 10, 2012 to file a reply."
F1380795608703_S11,procedural fact,"An extension upto July 31, 2012 was granted to Noticee for filing his reply."
F1380795608703_S12,procedural fact,"Authorised Representative of the Noticee again vide letter dated July 26, 2012 sought extension of time till August 31, 2012 to file a reply."
