Sentence ID,Label,Sentence
F1289903641088_S1,material fact,"Securities and Exchange Board of India (hereinafter referred to as “SEBI”) conducted investigation in respect of buying, selling and dealing in the shares of Motorol Speciality Oils Limited (hereinafter referred to as ‘MSOL Company’) for the period from January 1, 2001 to October 5, 2001 (hereinafter referred to as “investigation period”). "
F1289903641088_S2,material fact,The shares of MSOL are listed at Bombay Stock Exchange (hereinafter referred to as ‘BSE’) and Calcutta Stock Exchange (hereinafter referred to as “CSE”). 
F1289903641088_S3,allegation,"Pursuant to the investigation, it was alleged that Manhattan Fingrowth Limited (hereinafter referred to as “Noticee”) had failed to make the necessary disclosure in terms of regulations 13 (3) and 13 (5) of SEBI (Prohibition of Insider Trading) Regulations, 1992 (hereinafter referred to as “PIT”)."
F1289903641088_S4,allegation,"Consequently, it was alleged that the Noticee was liable for penalty under section 15A(b) of Securities and Exchange Board of India Act, 1992 (hereinafter referred to as “SEBI Act”)."
F1289903641088_S5,procedural fact,"The undersigned was appointed as Adjudicating Officer vide order dated May 15, 2008 under section 15 I of SEBI Act read with rule 3 of SEBI (Procedure for Holding Inquiry and Imposing Penalties by Adjudicating Officer) Rules, 1995 (hereinafter referred to as ‘Rules’) to inquire into and adjudge the alleged violations of provisions of the aforesaid regulations. "
F1289903641088_S6,procedural fact,"Show Cause Notice No EAD-5 VSS JR 136957 2008 dated September 5, 2008 (hereinafter referred to as “SCN”) was issued to the Noticee under rule 4(1) of the Rules to show cause as to why an inquiry should No be held against the Noticee and penalty be No imposed under section 15A(b) of SEBI Act for the alleged violation specified in the said SCN."
F1289903641088_S7,procedural fact,"The Noticee vide letter dated September 17, 2008 replied to the SCN seeking extension of four weeks to apply for consent under SEBI Circular No EFD ED Cir- 1 2007, dated April 20, 2007."
F1289903641088_S8,procedural fact,No further communication has been received from the Noticee.
F1289903641088_S9,procedural fact,"In the interest of natural justice and in order to conduct an inquiry as per rule 4 (3) of the Rules, the Noticee was granted an opportunity of personal hearing on February 13, 2009 at SEBI, Head Office, Mumbai vide notice dated January 29, 2009."
F1289903641088_S10,procedural fact,The Noticee neither sought for an adjournment No appeared before me.
F1289903641088_S11,procedural fact,"Vide letter dated February 17, 2009 a second and final opportunity was given to the Noticee to appear before me on March 4, 2009. "
F1289903641088_S12,procedural fact,"However, neither did the Noticee appear No extension was sought by the Noticee. "
F1289903641088_S13,procedural fact,I am convinced that ample opportunities have been given to the Noticee to explain his case. 
F1289903641088_S14,statutory fact,"As per rule 4(7) of the Rules, if any person fails, neglects or refuses to appear as required by sub-rule (3) before the Adjudicating Officer, he may proceed with the inquiry in the absence of such person after recording the reasons therefor."
F1289903641088_S15,procedural fact,"Despite having been given ample opportunity, the Noticee has failed to avail the opportunity of filing any reply to the SCN and personal hearing. "
F1289903641088_S16,procedural fact,"I am, therefore, compelled to proceed with the matter ex-parte based on the material available on record."
F1289903641088_S17,material fact, I have noted that the allegation has been made based on the trading details of the Noticee.
F1289903641088_S18,material fact," I am of the view that the shareholding voting rights of the Noticee need to be examined in order to ascertain whether the Noticee, in the first instant, attracted the disclosure requirements under PIT. "
F1289903641088_S19,material fact,"Since the Noticee did No co-operate and furnish any information, details, including Client id, PAN, Name of the Depository Participant, Transaction details of the Noticee for the period from January 1, 2001 to October 5, 2001 in the scrip of MSOL, Whether at any point of time prior to January 1, 2001 did it hold 5% or more of the paid up capital of MSOL i.e. 14,62,120 or more shares of MSOL, etc., was sought from National Securities Depository Limited (hereinafter referred to as “NSDL”) vide email dated May 13, 2009. "
F1289903641088_S20,procedural fact,"NSDL vide email dated May 20, 2009 furnished the requisite information. "
F1289903641088_S21,procedural fact,"Further information was sought from the Depository Participant, Stock Holding Corporation of India Limited (hereinafter referred to as “SHCIL”) vide email dated May 21, 2009."
F1289903641088_S22,subjective observation,"Upon perusal of the details furnished by NSDL and SHCIL, I find that the Noticee did No hold 5% or more of shares voting rights of MSOL at any point of time. "
F1289903641088_S23,material fact,"SHCIL vide email dated May 21, 2009 has also confirmed that the highest holding of the Noticee at any point of time was 10,00,100 shares (3.42%) of MSOL."
F1289903641088_S24,statutory fact," On perusal of regulation 13 (3) of PIT, I find that the same is attracted only when an entity holds held 5% or more shares voting rights of a company at any point of time."
F1289903641088_S25,subjective observation,"On careful examination of the facts of the case, I find that the Noticee had never crossed 5% of shares voting rights of MSOL at any point of time and hence, she had No attracted regulations 13(3) and 13(5) of PIT."
F1289903641088_S26,subjective observation,"When the regulations were No attracted, the question of their compliance or otherwise does No arise. "
F1289903641088_S27,subjective observation," In view of the foregoing, the alleged violation of the provisions of regulations 13(3) and 13(5) of PIT by the Noticee, as specified in the SCN, does No stand established and the matter is, accordingly, disposed of."
F1289903641088_S28,procedural fact," In terms of rule 6 of the Adjudication Rules, copies of this order are sent to the Noticee and also to the Securities and Exchange Board of India. "
