Sentence ID,Label,Sentence
F1290154724736_NEG_S1,material fact,The shares of Channel Guide India Ltd (hereinafter referred to as CGIL Company) are listed at Bombay Stock Exchange. 
F1290154724736_NEG_S2,material fact,"Total paid- up equity share capital voting capital of the Company was 60,00,000 as filed by the Company for the quarter ended March 2007."
F1290154724736_NEG_S3,material fact,"On perusal of the shareholding pattern of CGIL for the quarter ended December 2007 and March 2008 as available on the BSE website, under the category “public” holding more than 1% of the total number of shares, Securities and Exchange Board of India (hereinafter referred to as “SEBI”) observed that M s Angel Broking Limited (hereinafter referred to as “ABL” ”Noticee”) was shown holding 2,91,282 (4.85%) and 3,05,546 (5.9%) shares respectively. "
F1290154724736_NEG_S4,allegation,"Since ABL had acquired more than 5% shares voting rights in CGIL and did No make necessary disclosure under regulations 7(1) and 7(2) of SEBI (Substantial Acquisition of Shares and Takeovers) Regulations, 1997 (hereinafter referred to as “SAST”) and 13 (1) of SEBI (Prohibition of Insider Trading) Regulations, 1992 (hereinafter referred to as “PIT”), it was alleged that it had violated the said provisions and consequently, liable for monetary penalty under section 15A (b) of SEBI Act, 1992 (hereinafter referred to as the “Act”). "
F1290154724736_NEG_S5,procedural fact,"The undersigned was appointed as the Adjudicating Officer under Section 19 of the Act read with Section 15 I of SEBI (Procedure of Holding Inquiry and Imposing Penalties by Adjudicating Officer) Rules, 1995 (hereinafter referred to as “Rules”) vide order dated September 15, 2008 to inquire into and adjudge under Section 15A(b) of the Act for the alleged violation of SAST and PIT. "
F1290154724736_NEG_S6,procedural fact,"Show Cause Notice No EAD VSS TZ 146051 2008 dated November 28, 2008 (hereinafter referred to as “SCN”) was issued to the Noticee under rule 4 of the Rules to show cause as to why an inquiry should No be held against the Noticee and penalty be No imposed on the Noticee under section 15A (b) of the Act for the alleged violation specified in the said SCN."
F1290154724736_NEG_S7,defendant claim,"The Noticee vide letter dated January 21, 2009 replied to the SCN stating, inter alia, the following: a. We maintain a separate account designated as “Client Beneficiary Account-1203320000000066” (hereinafter “Client Beneficiary Account”) in our capacity as Depository participant for retaining securities traded on behalf of our clients."
F1290154724736_NEG_S8,defendant claim,"Under the Member Client Agreement executed by the Clients for trading, Clients have specifically authorized us to retain their shares by maintaining a running account, instead of effecting settlement to settlement clearance, for facilitating trading operations on their behalf. "
F1290154724736_NEG_S9,defendant claim,"The shares of the clients so retained are held in the said designated Client Beneficiary Account and used to meet their pay-in obligations in any settlement or inter-settlement or considered, at their request, as collateral margin for allowing enhanced gross exposure to them. "
F1290154724736_NEG_S10,defendant claim,Shares held in the said Client Beneficiary Account are transferred to their Demat Account as and when the Clients make a request to do so.
F1290154724736_NEG_S11,defendant claim,Shares are retained in the said Client Beneficiary Account client wise and scrip wise and a proper system and procedure is in place for reconciliation of the securities on a daily basis.
F1290154724736_NEG_S12,defendant claim,The system generates a Stock Mapping Report daily which clearly demonstrates scrip held acquired by each Client.
F1290154724736_NEG_S13,defendant claim,"b. We have made it abundantly clear above that shares in the Client Beneficiary Account belong to the Clients themselves and as Stock Brokers retaining the shares on behalf of the Clients on their express authorization, we do No acquire or exercise any voting or controlling interests in the said company."
F1290154724736_NEG_S14,defendant claim,"All the corporate benefits arising out of the shares retained in the Clients Beneficiary Account are passed on to the Clients and, as Stock Broker retaining the shares, we do No have any interests or rights in or claim over these corporate benefits."
F1290154724736_NEG_S15,defendant claim,"Thus, by merely retaining the shares on behalf of our clients in the manner aforesaid, there is no acquisition of shares, substantial or otherwise, by us in any company."
F1290154724736_NEG_S16,defendant claim," Further, we do No carry out any proprietary trading ourselves in any shares."
F1290154724736_NEG_S17,defendant claim,"We, therefore, humbly submit that provisions of Regulations 7(1) and 7(2) of SEBI (SAST) are No attracted in our case."
F1290154724736_NEG_S18,defendant claim,"c. Having explained the facts relating to maintenance of Client Beneficiary Account as above, we would No like to make our submissions with respect to the shares of Channel Guide India Limited (CGIL)."
F1290154724736_NEG_S19,defendant claim," It is submitted that 2,91,282 shares in CGIL constituting 4.85% for the quarter ending on December, 2007, retained in the Client Beneficiary Account were held for and on behalf of as many as 28 clients."
F1290154724736_NEG_S20,defendant claim,"Similarly, 3,05,546 shares in CGIL constituting 5.09% for the quarter ending March, 2008 were held for and on behalf of 22 clients."
F1290154724736_NEG_S21,defendant claim, We did No hold any shares at all in CGIL on our own accord and none of our Clients individually held 5% or more shares at any time. 
F1290154724736_NEG_S22,defendant claim,"d. With particular reference to the shares of CGIL held by our Constituent, Mr. Jagdish Kumar, who held a substantial portion of the shares but less than 5%, for both the quarters under consideration, we would like to submit that these shares have since been transferred to the Client’s Demat account 1203320000900784 as per his instruction."
F1290154724736_NEG_S23,defendant claim, The consideration for all these transactions in the shares of CGIL were passed from or to Mr. Jagdish Kumar himself and as Stock Broker we have had no interest or concern therein.
F1290154724736_NEG_S24,defendant claim,This is true in case of all the other Clients who held shares of CGIL for the two quarters in question.
F1290154724736_NEG_S25,defendant claim,"e. In light of the fact that we were merely acting in the ordinary course of business of Stock Brokers for and on behalf of the Clients and have never ourselves acquired or ever intended to acquire any voting rights or controlling interests in CGIL and having regard to the fact that the considerations for the shares in question proceeded from the Clients themselves and all the corporate benefits arising thereout, and significantly in the case of Mr. Jagdish Kumar the shares also, have been transferred to the beneficial holders, we humbly submit that SEBI (SAST) Regulations 7(1) or 7(2) or SEBI (PIT) Regulations 13 (1) are No attracted and, therefore, we have No committed any violation or breach of the provisions thereof. "
F1290154724736_NEG_S26,procedural fact,"In the interest of natural justice and in order to conduct an inquiry as per rule 4 (3) of the Rules, the Noticee was granted an opportunity of personal hearing on February 12, 2009 vide Notice dated January 29, 2009."
F1290154724736_NEG_S27,procedural fact," Mr. Amit Majumdar, appeared on behalf of the Noticee as its Authorized Representatives (hereinafter referred to as “AR”). "
F1290154724736_NEG_S28,defendant claim,"During the hearing, the AR reiterated the submissions made vide letter dated January 21, 2009 and further submitted the following: “We have developed an in-house utility wherein the position of holding in any scrip is monitored on a daily basis."
F1290154724736_NEG_S29,defendant claim, We also download the listed capital of companies listed on BSE and NSE so as to calculate our concentration on an individual scrip level on daily basis.
F1290154724736_NEG_S30,defendant claim,Based on this concentration the system provides a drill-down facility to identify the clients on whose behalf the shares have been held by us.
