Sentence ID,Label,Sentence
F1522238936458_S1,material fact,"Securities and Exchange Board of India (hereinafter referred to as “SEBI”) conducted investigation in the trading in the scrip of Vas Infrastructure Ltd (“VIL”) and into the possible violation of the provisions of Regulation 3(i) and 4 of SEBI (Prohibition of Insider Trading) Regulations, 1992 (hereinafter referred to as ""PIT Regulations, 1992""), Regulation 7(1A) of SEBI (Substantial Acquisition of Shares and Takeovers) Regulations, 1997 (hereinafter referred to as “SAST Regulations, 1997”) read with Regulation 35 of SEBI (Substantial Acquisition of Shares and Takeovers) Regulations, 2011 (SAST Regulations, 2011), and Regulation 13(3) of PIT Regulations, 1992 by M s Vasparr Shelter Ltd (presently known as RV Lifestyle Limited) (hereinafter referred to as “Noticee”) in the scrip of VIL. "
F1522238936458_S2,material fact,"It was observed that the unaudited financial results of VIL for the quarter ended December, 2009 were taken on record in its Board Meeting held on January 30, 2010 and the same were informed by VIL to BSE vide its letter dated February 04, 2010, which published the same on its website on February 06, 2010 at 02:42 PM."
F1522238936458_S3,material fact,"As per the financial results for the quarter ending December, 2009, the profit of the company Adjudication Order in respect of Vasparr Shelter Ltd in the matter of Vas Infrastructure Ltd was Rs 0.10 crore as compared to loss of Rs 0.17 crore for the quarter ending September, 2009."
F1522238936458_S4,material fact,"It was observed that the Noticee had sold off 3,10,000 shares (2.48%) of VIL on February 01, 2010 i.e. prior to the aforementioned financial results being made public."
F1522238936458_S5,allegation," It is alleged that the Noticee was an ‘insider’ under the PIT Regulations, 1992, and by selling 3,10,000 shares on February 01, 2010 while in possession of unpublished price sensitive information (UPSI) had violated Regulation 3(i) and 4 of PIT Regulations, 1992."
F1522238936458_S6,material fact,"The Noticee was holding 10,99,516 shares (8.80%) in VIL as on quarter ended December 2009 and it sold 3,10,000 (2.48%) shares of VIL on February 01, 2010."
F1522238936458_S7,material fact,"As the sale of shares was more than 2% of the share capital of VIL, it required a disclosure from the Noticee within 2 days of transaction to the company as well as to the stock exchange where the share of VIL are listed as stipulated by regulation 7(1A) of SAST Regulations, 1997."
F1522238936458_S8,allegation,"However, as per information from BSE, the Noticee made the disclosure to BSE on February 04, 2010 with a delay of one day, and therefore, it is alleged that Noticee violated the provisions of regulation 7(1A) of the SAST Regulations, 1997."
F1522238936458_S9,material fact,"Further, as the sale of 3,10,000 (2.48%) shares of VIL on February 01, 2010 by the Noticee resulted in its shareholding change by more than 2%, the Noticee was required to disclose the change to the company in Form C as stipulated under Regulation 13(3) read with Regulation 13(5) of PIT Regulations 1992."
F1522238936458_S10,allegation, It is alleged that the Noticee by No making the requisite disclosure has violated Regulation 13(3) read with Regulation 13(5) of PIT Regulations 1992. 
