Sentence ID,Label,Sentence
F1290062946166_S1,material fact,The shares of Mittal Securities Finance Limited (hereinafter referred to as “MSFL”) is listed on Bombay Stock Exchange (hereinafter referred to as “BSE”) and Ahemadabad Stock Exchange (hereinafter referred to as “ASE”). 
F1290062946166_S2,material fact,"SEBI conducted an investigation into the affairs relating to buying, selling and dealing in the shares of MSFL."
F1290062946166_S3,material fact,"The investigation covered the period from February 02, 2005 to February 14, 2005."
F1290062946166_S4,material fact,"The investigation conducted by SEBI revealed that M s Pragari Finvest (India) Private Limited (hereinafter referred to as “Noticee”) had failed to comply with regulation 13(3) read with regulation 13(5) of SEBI (Prohibition of Insider Trading) Regulations, 1992 (hereinafter referred to as “SEBI (PIT)”."
F1290062946166_S5,allegation,"It was alleged that the Noticee had violated the provisions of the said regulations and therefore, liable for monetary penalty under section 15A(b) of the Securities and Exchange Board of India Act, 1992 (hereinafter referred to as ‘SEBI Act’)."
F1290062946166_S6,procedural fact,"The undersigned was appointed as Adjudicating Officer, vide order dated March 17, 2008 under section 15 I of the SEBI Act read with rule 3 of SEBI (Procedure for Holding Inquiry and Imposing Penalty by Adjudicating Officer) Rules, 1995 (hereinafter referred to as the ‘Rules’) to inquire into and adjudge under section 15A(b) of the SEBI Act the alleged violation of regulation 13(3) read with regulation 13(5) of SEBI (PIT)."
F1290062946166_S7,procedural fact,"Show Cause Notice (EAD-2 SD PM 133521 2008) dated July 30, 2008 (hereinafter referred to as “SCN”) was issued to the Noticee under rule 4 of the Rules to show cause as to why an inquiry should No be initiated against the Noticee and penalty be No imposed under section 15A(b) of SEBI Act for Noticee’s failure to comply with the provisions of regulations 13(3) read with 13(5) of SEBI (PIT)."
F1290062946166_S8,procedural fact,"The Noticee vide its letter dated September 02, 2008 replied to the said SCN. "
F1290062946166_S9,defendant claim,"The extracts of the reply of the Noticee, inter-alia are stated as under:- • We sold the shares of MSFL during the period of February 2005."
F1290062946166_S10,defendant claim,"Our holding & disclosures were made to public by the disclosure of the shareholding pattern as filed under cl. 35 of the Listing Agreement. SEBI (Prohibition of Insider Trading) Regulations, 1992 also talks about a disclosure which will No mislead the public."
F1290062946166_S11,defendant claim,"Small company like us, it is burdensome, troublesome & very difficult to keep thousand of regulations & compliance thereof for no reason."
F1290062946166_S12,defendant claim,The object set out by regulator is simple No to mislead the public.
F1290062946166_S13,defendant claim,There were no corporate announcements of intimation at that time by MSFL. 
F1290062946166_S14,defendant claim,We sold the shares as part of our immediate financial need at that time for our survival. 
F1290062946166_S15,defendant claim,The Shareholding Pattern under cl. 35 of the Listing Agreement which per se a market disclosure for the quarter ended 31st March 2005 intimated & published in the BSE site talks about the sell of shares.
F1290062946166_S16,defendant claim,Our sell of shares neither affected the market No related to any alleged manipulation of the script.
F1290062946166_S17,defendant claim,"It was a mere submission of the sell of the shares under the SEBI (Prohibition of Insider Trading) Regulation, 1992."
F1290062946166_S18,defendant claim,"Taking into account the object of the regulation & the need for the disclosure, in this case our No disclosure had No impacted anybody."
F1290062946166_S19,procedural fact," In the interest of natural justice and in order to conduct an inquiry in terms of rule 4(3) of the Rules, the Noticee was granted an opportunity of personal hearing on March 18, 2009."
F1290062946166_S20,defendant claim,"Mr. Ramesh Chandra Mishra appeared on behalf of the Noticee and submitted, inter alia, as under: i. The promoters of all the three companies are same i.e. a. M s. Clarus Finance & Securities Limited (formerly known as Mittal Securities Finance limited – a BSE listed Company; b. M s. Platinum Finvest Private limited; and c. M s. Pragari Finvest Private Limited."
F1290062946166_S21,defendant claim,And it was difficult at the relevant time to appoint and manage persons who has adequate knowledge of Securities Act and Regulations as framed under the SEBI Act.
