Sentence ID,Label,Sentence
F1427283185104_S1,material fact,"Securities and Exchange Board of India (hereinafter referred to as ‘SEBI’) observed that Indianivesh Commodities Private Limited (hereinafter referred to as 'Noticee INCPL') failed to make certain disclosures upon change in its shareholding in Indianivesh Ltd (hereinafter referred to as ‘Company INL') during the period between July 10, 2012 to December 31 of 2012."
F1427283185104_S2,procedural fact,"I was appointed as Adjudicating Officer under Section 15 I of the Securities and Exchange Board of India Act, 1992 (hereinafter referred to as ‘SEBI Act’) read with Rule 3 of Securities and Exchange Board of India (Procedure for Holding Inquiry and Imposing Penalties by Adjudicating Officer) Rules, 1995 (hereinafter referred to as ‘Adjudication Rules’) to inquire into and adjudge under Section 15A (b) of the SEBI Act for the violations of Regulation 13 (1) & 13 (3) of the SEBI (Prohibition of Insider Trading) Regulations, 1992 (hereinafter referred to as ‘PIT Regulations’) and Regulations 29 (1), (2) & (3) of the SEBI (Substantial Acquisition of Shares and Takeovers) Regulations, 2011 (hereinafter referred to as ‘SAST Regulations’) alleged to have been committed by the noticee and the same was communicated vide communiqué dated 06.08.2013. "
F1427283185104_S3,procedural fact,"Show Cause Notice No EAD-3 DRK JP 20836 2013 dated August 21, 2013 (herein after referred to as 'SCN') was served upon the Noticee through Registered Post Acknowledgement Due under Rule 4 (1) of the Adjudication Rules, to show cause as to why an inquiry be No held against it and penalty be No imposed under Section 15 A (b) of the SEBI Act for the alleged violations of Regulations 13 (1) & 13 (3) of the PIT Regulations and Regulations 29 (1), (2) & (3) of the SAST Regulations. "
F1427283185104_S4,allegation,"The allegations leveled against the Noticee in the SCN are as under: (a) As per the requirement under aforesaid regulations of SAST Regulations and PIT Regulations, any acquirer who acquires shares or voting rights in a target company, aggregating to 5% or more, shall disclose within two days, the aggregate shareholding to the stock exchange target company."
F1427283185104_S5,allegation,"It is also required under said SAST Regulations and PIT Regulations that such acquirer who holds five per cent or more of the shares or voting rights in a target company, shall also disclose every further acquisition or disposal amounting to 2% or more of the shares voting rights in such target company."
F1427283185104_S6,allegation,"(b) On July 10 & 19 of 2012, September 28, 2012, October 01, 2012 and December 31, 2012, Noticee had acquired 5% or more shares voting right and also further disposed off 2% or more shares voting right in the Company, without making any disclosure about its shareholding as required under the said SAST Regulations and PIT Regulations. "
F1427283185104_S7,allegation,"The list of details of such acquisition disposal of shares by the Noticee (indicating the details of dates, number of shares acquired disposed off, percentage of such holding in the Company, alleged violations etc.) was enclosed along with the SCN."
F1427283185104_S8,allegation,"(c) In view of No disclosure of shareholding by the Noticee upon said acquisition disposal of shares, it was alleged that the Noticee had violated the provisions of Regulation 13 (1) & 13 (3) of the PIT Regulations and Regulation 29 (1), (2) & (3) of the SAST Regulations."
F1427283185104_S9,statutory fact,"The provisions of laws are reproduced hereunder: PIT Regulations, 1992 13. (1) Any person who holds more than 5% shares or voting rights in any listed company shall disclose to the company in Form A, the number of shares or voting rights held by such person, on becoming such holder, within 2 working days] of :— (a) the receipt of intimation of allotment of shares; or (b) the acquisition of shares or voting rights, as the case may be."
F1427283185104_S10,statutory fact," (3) Any person who holds more than 5% shares for voting rights in any listed company shall disclose to the company in Form C the number of shares or voting rights held and change in shareholding or voting rights, even if such change results in shareholding falling below 5%, if there has been change in such holdings from the last disclosure made under sub- regulation (1) or under this sub-regulation; and such change exceeds 2% of total shareholding or voting rights in the company."
F1427283185104_S11,statutory fact," (5) The disclosure mentioned in sub-regulations (3), (4) and (4A) shall be made within two working days of : (a) the receipts of intimation of allotment of shares, or (b) the acquisition or sale of shares or voting rights, as the case may be. SAST Regulations, 2011 29."
F1427283185104_S12,statutory fact,"(1) Any acquirer who acquires shares or voting rights in a target company which taken together with shares or voting rights, if any, held by him and by persons acting in concert with him in such target company, aggregating to five per cent or more of the shares of such target company, shall disclose their aggregate shareholding and voting rights in such target company in such form as may be specified. "
F1427283185104_S13,statutory fact,"(2) Any acquirer, who together with persons acting in concert with him, holds shares or voting rights entitling them to five per cent or more of the shares or voting rights in a target company, shall disclose every acquisition or disposal of shares of such target company representing two per cent or more of the shares or voting rights in such target company in such form as may be specified."
F1427283185104_S14,statutory fact," (3) The disclosures required under sub-regulation (1) and sub-regulation (2) shall be made within two working days of the receipt of intimation of allotment of shares, or the acquisition of shares or voting rights in the target company to,— (a) every stock exchange where the shares of the target company are listed; and (b) the target company at its registered office."
F1427283185104_S15,procedural fact,"Noticee submitted its reply dated September 11, 2013 towards the SCN and desired a personal hearing in the matter. "
F1427283185104_S16,procedural fact,"Thereafter, for the purpose of inquiry and as requested by the Noticee, an opportunity of hearing was provided to the Noticee on October 29, 2013 vide notice of hearing dated October 09, 2013."
